,symbol,probes,importance,enhancer,['MYCNA'],['MYCNA']_ratio,['MYCNA']_imp,['MYCNA']_imp_ratio,['MYCNA']_enha,['MYCNA']_enha_ratio,['4'],['4']_ratio,['4']_imp,['4']_imp_ratio,['4']_enha,['4']_enha_ratio,['4s'],['4s']_ratio,['4s']_imp,['4s']_imp_ratio,['4s']_enha,['4s']_enha_ratio,['other'],['other']_ratio,['other']_imp,['other']_imp_ratio,['other']_enha,['other']_enha_ratio,"['4', 'MYCNA']","['4', 'MYCNA']_ratio","['4', 'MYCNA']_imp","['4', 'MYCNA']_imp_ratio","['4', 'MYCNA']_enha","['4', 'MYCNA']_enha_ratio"
NM_001135,ACAN,62.0,24.0,9.0,5.0,0.08064516129032258,2.0,0.08333333333333333,1.0,0.1111111111111111,13.0,0.20967741935483872,7.0,0.2916666666666667,3.0,0.3333333333333333,20.0,0.3225806451612903,16.0,0.6666666666666666,6.0,0.6666666666666666,1.0,0.016129032258064516,1.0,0.041666666666666664,0.0,0.0,8.0,0.12903225806451613,5.0,0.20833333333333334,3.0,0.3333333333333333
NM_013227,ACAN,62.0,24.0,9.0,5.0,0.08064516129032258,2.0,0.08333333333333333,1.0,0.1111111111111111,13.0,0.20967741935483872,7.0,0.2916666666666667,3.0,0.3333333333333333,20.0,0.3225806451612903,16.0,0.6666666666666666,6.0,0.6666666666666666,1.0,0.016129032258064516,1.0,0.041666666666666664,0.0,0.0,8.0,0.12903225806451613,5.0,0.20833333333333334,3.0,0.3333333333333333
NM_001010939,LIPJ,26.0,10.0,1.0,1.0,0.038461538461538464,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,0.0,0.0,0.0,0.0
NM_018363,RNLS,26.0,10.0,1.0,1.0,0.038461538461538464,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,0.0,0.0,0.0,0.0
NM_017667,VPS50,26.0,10.0,0.0,1.0,0.038461538461538464,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_001031709,RNLS,26.0,10.0,1.0,1.0,0.038461538461538464,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.07692307692307693,0.0,0.0,0.0,0.0
NM_024553,VPS50,26.0,10.0,0.0,1.0,0.038461538461538464,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_001257998,VPS50,26.0,10.0,0.0,1.0,0.038461538461538464,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM_002986,CCL11,47.0,18.0,5.0,2.0,0.0425531914893617,0.0,0.0,0.0,0.0,16.0,0.3404255319148936,11.0,0.6111111111111112,2.0,0.4,17.0,0.3617021276595745,11.0,0.6111111111111112,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0851063829787234,2.0,0.1111111111111111,2.0,0.4
NM_001039933,CD79B,131.0,50.0,10.0,8.0,0.061068702290076333,2.0,0.04,0.0,0.0,28.0,0.21374045801526717,18.0,0.36,3.0,0.3,27.0,0.20610687022900764,19.0,0.38,5.0,0.5,5.0,0.03816793893129771,0.0,0.0,0.0,0.0,18.0,0.13740458015267176,14.0,0.28,2.0,0.2
