symbol,probes,importance,enhancer,A_ratio,B_ratio,C_ratio,D_ratio,A_imp_ratio,B_imp_ratio,C_imp_ratio,D_imp_ratio,transcript,class
MAN1C1,66.0,21.0,11.0,0.045454545454545456,0.30303030303030304,0.10606060606060606,0.015151515151515152,0.047619047619047616,0.47619047619047616,0.23809523809523808,0.0,"NM_020379, NM_001289010",B
MFGE8,58.0,23.0,10.0,0.0,0.27586206896551724,0.2413793103448276,0.0,0.0,0.34782608695652173,0.4782608695652174,0.0,"NM_005928, NM_001310320, NM_001114614, NM_001310321, NM_001310319",B
MIR4291,16.0,5.0,1.0,0.1875,0.0625,0.3125,0.0,0.4,0.0,0.8,0.0,NR_036254,C
MIR6818,17.0,9.0,0.0,0.23529411764705882,0.23529411764705882,0.6470588235294118,0.0,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.0,NR_106876,C
MYCN,41.0,27.0,8.0,0.5365853658536586,0.0,0.0,0.024390243902439025,0.7407407407407407,0.0,0.0,0.037037037037037035,"NM_001293233, NM_001293231, NM_001293228, NM_005378",A
MYCNOS,41.0,27.0,8.0,0.5365853658536586,0.0,0.0,0.024390243902439025,0.7407407407407407,0.0,0.0,0.037037037037037035,"NR_026766, NR_110230",A
MYCNUT,39.0,25.0,6.0,0.5128205128205128,0.0,0.02564102564102564,0.02564102564102564,0.72,0.0,0.0,0.04,NR_125783,A
NCAM2,14.0,5.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,NM_004540,"A, B, C, D"
NXPH1,40.0,13.0,0.0,0.225,0.025,0.025,0.0,0.46153846153846156,0.0,0.0,0.0,NM_152745,A
PRDM8,86.0,27.0,3.0,0.27906976744186046,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.5555555555555556,0.037037037037037035,0.0,0.0,"NM_001099403, NM_020226",A
PRR29,92.0,47.0,9.0,0.07608695652173914,0.2717391304347826,0.25,0.021739130434782608,0.0425531914893617,0.3829787234042553,0.3617021276595745,0.0,"NM_001164257, NM_001191029, NM_001191030, NM_001191031",B
PRR29-AS1,92.0,47.0,9.0,0.07608695652173914,0.2717391304347826,0.25,0.021739130434782608,0.0425531914893617,0.3829787234042553,0.3617021276595745,0.0,NR_126169,B
RNLS,26.0,10.0,1.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,"NM_018363, NM_001031709",B
SAMD9L,34.0,11.0,0.0,0.11764705882352941,0.029411764705882353,0.0,0.23529411764705882,0.18181818181818182,0.09090909090909091,0.0,0.0,"NM_001303500, NM_152703, NM_001303497, NM_001303498, NM_001303496",D
SCN4A,105.0,51.0,10.0,0.06666666666666667,0.26666666666666666,0.24761904761904763,0.01904761904761905,0.0392156862745098,0.39215686274509803,0.37254901960784315,0.0,NM_000334,B
SDHAF3,75.0,27.0,4.0,0.08,0.09333333333333334,0.04,0.02666666666666667,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.0,NM_020186,B
SERPINA11,35.0,11.0,6.0,0.02857142857142857,0.4,0.3142857142857143,0.0,0.09090909090909091,0.45454545454545453,0.6363636363636364,0.0,NM_001080451,B
SFTPA2,17.0,7.0,0.0,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.0,0.0,0.0,0.42857142857142855,0.0,NM_001098668,C
SLC6A11,31.0,13.0,1.0,0.0,0.06451612903225806,0.3870967741935484,0.0,0.0,0.07692307692307693,0.6923076923076923,0.0,"NM_014229, NM_001317406",C
SMAD3,66.0,20.0,12.0,0.09090909090909091,0.10606060606060606,0.18181818181818182,0.030303030303030304,0.0,0.3,0.3,0.0,NM_005902,C
SMAD6,70.0,24.0,15.0,0.1,0.1,0.14285714285714285,0.04285714285714286,0.041666666666666664,0.125,0.25,0.0,"NM_005585, NR_027654",C
ST6GAL2,34.0,11.0,4.0,0.029411764705882353,0.0,0.029411764705882353,0.08823529411764706,0.0,0.0,0.0,0.0,"NM_032528, NM_001142351, NM_001142352",D
VPREB1,18.0,6.0,0.0,0.0,0.3333333333333333,0.4444444444444444,0.05555555555555555,0.0,0.8333333333333334,0.6666666666666666,0.0,"NM_007128, NM_001303509",C
VPS50,26.0,10.0,0.0,0.038461538461538464,0.0,0.0,0.3076923076923077,0.1,0.0,0.0,0.0,"NM_017667, NM_024553, NM_001257998",D
